iter	Passed	Remaining
0	13	26303
1	21	21478
2	29	19644
3	37	18786
4	50	20007
5	67	22480
6	82	23575
7	101	25214
8	110	24446
9	127	25335
10	136	24601
11	144	23927
12	153	23458
13	170	24148
14	179	23714
15	188	23320
16	196	22974
17	214	23592
18	222	23227
19	231	22918
20	243	22923
21	251	22612
22	259	22315
23	268	22073
24	280	22171
25	288	21901
26	295	21619
27	304	21436
28	313	21333
29	324	21296
30	332	21141
31	341	21010
32	358	21374
33	367	21260
34	375	21069
35	384	20976
36	399	21219
37	408	21078
38	417	20992
39	425	20870
40	441	21076
41	450	20980
42	458	20888
43	469	20862
44	479	20835
45	488	20747
46	495	20610
47	509	20704
48	517	20620
49	526	20522
50	537	20534
51	557	20876
52	566	20816
53	574	20698
54	582	20593
55	596	20723
56	604	20619
57	613	20528
58	620	20418
59	634	20523
60	643	20440
61	651	20355
62	659	20290
63	676	20465
64	685	20420
65	694	20347
66	703	20289
67	719	20440
68	725	20309
69	734	20241
70	742	20179
71	756	20269
72	766	20224
73	775	20171
74	783	20111
75	798	20220
76	807	20156
77	815	20091
78	823	20028
79	837	20107
80	845	20034
81	853	19952
82	858	19828
83	868	19804
84	876	19744
85	884	19680
86	892	19618
87	903	19629
88	912	19601
89	920	19541
90	930	19521
91	945	19599
92	953	19551
93	962	19511
94	971	19478
95	986	19563
96	993	19500
97	1002	19460
98	1011	19422
99	1024	19468
100	1032	19415
101	1042	19390
102	1049	19337
103	1063	19388
104	1072	19359
105	1081	19317
106	1089	19277
107	1104	19350
108	1113	19310
109	1121	19262
110	1128	19211
111	1140	19229
112	1151	19221
113	1159	19181
114	1167	19132
115	1182	19210
116	1200	19321
117	1208	19272
118	1216	19230
119	1228	19250
120	1236	19203
121	1244	19154
122	1252	19116
123	1264	19136
124	1272	19088
125	1281	19058
126	1291	19047
127	1305	19100
128	1314	19059
129	1323	19033
130	1332	19006
131	1348	19076
132	1356	19044
133	1365	19008
134	1373	18978
135	1389	19037
136	1397	19001
137	1405	18969
138	1414	18938
139	1429	18993
140	1438	18960
141	1446	18922
142	1454	18894
143	1470	18947
144	1478	18908
145	1486	18870
146	1494	18840
147	1507	18858
148	1515	18828
149	1524	18797
150	1531	18759
151	1543	18764
152	1551	18724
153	1558	18683
154	1566	18649
155	1577	18652
156	1586	18626
157	1595	18599
158	1604	18582
159	1619	18626
160	1628	18602
161	1638	18585
162	1646	18559
163	1663	18617
164	1673	18611
165	1681	18579
166	1690	18555
167	1707	18624
168	1716	18598
169	1725	18573
170	1734	18555
171	1743	18526
172	1752	18502
173	1760	18476
174	1772	18488
175	1784	18495
176	1793	18473
177	1801	18438
178	1816	18476
179	1824	18448
180	1832	18415
181	1840	18384
182	1853	18405
183	1861	18371
184	1869	18345
185	1877	18311
186	1888	18306
187	1895	18270
188	1903	18243
189	1911	18210
190	1919	18183
191	1927	18153
192	1936	18131
193	1945	18108
194	1959	18136
195	1967	18109
196	1976	18085
197	1985	18074
198	2000	18103
199	2007	18071
200	2016	18047
201	2024	18020
202	2038	18047
203	2047	18023
204	2055	18002
205	2064	17978
206	2078	18001
207	2087	17980
208	2095	17955
209	2105	17949
210	2121	17987
211	2130	17966
212	2138	17939
213	2145	17908
214	2159	17928
215	2169	17919
216	2180	17913
217	2192	17925
218	2201	17907
219	2210	17883
220	2218	17861
221	2231	17870
222	2239	17843
223	2247	17818
224	2255	17790
225	2265	17781
226	2273	17754
227	2283	17750
228	2293	17735
229	2308	17764
230	2317	17750
231	2326	17729
232	2335	17708
233	2351	17749
234	2359	17722
235	2368	17703
236	2377	17686
237	2394	17728
238	2402	17705
239	2411	17686
240	2420	17664
241	2437	17704
242	2448	17700
243	2456	17679
244	2468	17685
245	2477	17664
246	2485	17637
247	2492	17611
248	2503	17604
249	2511	17578
250	2518	17551
251	2526	17527
252	2536	17511
253	2543	17485
254	2553	17471
255	2561	17447
256	2573	17452
257	2581	17427
258	2589	17403
259	2597	17380
260	2610	17395
261	2619	17375
262	2627	17354
263	2635	17328
264	2648	17343
265	2658	17327
266	2666	17309
267	2675	17289
268	2690	17314
269	2699	17296
270	2707	17274
271	2715	17254
272	2729	17265
273	2737	17242
274	2746	17225
275	2753	17200
276	2767	17213
277	2776	17195
278	2784	17175
279	2793	17158
280	2807	17172
281	2815	17155
282	2824	17137
283	2832	17115
284	2846	17128
285	2854	17105
286	2862	17082
287	2870	17060
288	2881	17058
289	2889	17037
290	2899	17029
291	2907	17009
292	2920	17013
293	2927	16990
294	2935	16967
295	2943	16945
296	2952	16928
297	2959	16905
298	2969	16890
299	2977	16869
300	2990	16878
301	2998	16860
302	3007	16843
303	3016	16829
304	3030	16839
305	3038	16821
306	3046	16798
307	3055	16784
308	3070	16801
309	3077	16779
310	3086	16763
311	3095	16745
312	3108	16755
313	3116	16735
314	3125	16718
315	3133	16697
316	3146	16707
317	3155	16691
318	3164	16673
319	3172	16655
320	3186	16664
321	3194	16644
322	3202	16626
323	3210	16608
324	3224	16618
